,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
709,reg,2009091000,PIT,TEN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091000/2009091000_gtd.json,13.0,10.0
710,reg,2009091304,CLE,MIN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091304/2009091304_gtd.json,20.0,34.0
711,reg,2009091307,NO,DET,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091307/2009091307_gtd.json,45.0,27.0
712,reg,2009091308,TB,DAL,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091308/2009091308_gtd.json,21.0,34.0
713,reg,2009091305,HOU,NYJ,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091305/2009091305_gtd.json,7.0,24.0
714,reg,2009091306,IND,JAC,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091306/2009091306_gtd.json,14.0,12.0
715,reg,2009091303,CIN,DEN,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091303/2009091303_gtd.json,7.0,12.0
716,reg,2009091302,CAR,PHI,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091302/2009091302_gtd.json,10.0,38.0
717,reg,2009091301,BAL,KC,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091301/2009091301_gtd.json,38.0,24.0
718,reg,2009091300,ATL,MIA,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091300/2009091300_gtd.json,19.0,7.0
719,reg,2009091309,ARI,SF,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091309/2009091309_gtd.json,16.0,20.0
720,reg,2009091311,SEA,STL,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091311/2009091311_gtd.json,28.0,0.0
721,reg,2009091310,NYG,WAS,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091310/2009091310_gtd.json,23.0,17.0
722,reg,2009091312,GB,CHI,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091312/2009091312_gtd.json,21.0,15.0
723,reg,2009091400,NE,BUF,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091400/2009091400_gtd.json,25.0,24.0
724,reg,2009091401,OAK,SD,1,2009,POST,http://www.nfl.com/liveupdate/game-center/2009091401/2009091401_gtd.json,20.0,24.0
725,reg,2009092000,ATL,CAR,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092000/2009092000_gtd.json,28.0,20.0
726,reg,2009092001,DET,MIN,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092001/2009092001_gtd.json,13.0,27.0
727,reg,2009092008,WAS,STL,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092008/2009092008_gtd.json,9.0,7.0
728,reg,2009092007,TEN,HOU,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092007/2009092007_gtd.json,31.0,34.0
729,reg,2009092006,PHI,NO,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092006/2009092006_gtd.json,22.0,48.0
730,reg,2009092005,NYJ,NE,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092005/2009092005_gtd.json,16.0,9.0
731,reg,2009092004,KC,OAK,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092004/2009092004_gtd.json,10.0,13.0
732,reg,2009092003,JAC,ARI,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092003/2009092003_gtd.json,17.0,31.0
733,reg,2009092002,GB,CIN,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092002/2009092002_gtd.json,24.0,31.0
734,reg,2009092010,SF,SEA,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092010/2009092010_gtd.json,23.0,10.0
735,reg,2009092009,BUF,TB,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092009/2009092009_gtd.json,33.0,20.0
736,reg,2009092013,SD,BAL,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092013/2009092013_gtd.json,26.0,31.0
737,reg,2009092012,DEN,CLE,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092012/2009092012_gtd.json,27.0,6.0
738,reg,2009092011,CHI,PIT,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092011/2009092011_gtd.json,17.0,14.0
739,reg,2009092014,DAL,NYG,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092014/2009092014_gtd.json,31.0,33.0
740,reg,2009092100,MIA,IND,2,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092100/2009092100_gtd.json,23.0,27.0
741,reg,2009092700,BAL,CLE,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092700/2009092700_gtd.json,34.0,3.0
742,reg,2009092711,NYJ,TEN,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092711/2009092711_gtd.json,24.0,17.0
743,reg,2009092702,DET,WAS,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092702/2009092702_gtd.json,19.0,14.0
744,reg,2009092703,HOU,JAC,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092703/2009092703_gtd.json,24.0,31.0
745,reg,2009092704,MIN,SF,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092704/2009092704_gtd.json,27.0,24.0
746,reg,2009092705,NE,ATL,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092705/2009092705_gtd.json,26.0,10.0
747,reg,2009092708,TB,NYG,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092708/2009092708_gtd.json,0.0,24.0
748,reg,2009092706,PHI,KC,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092706/2009092706_gtd.json,34.0,14.0
749,reg,2009092707,STL,GB,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092707/2009092707_gtd.json,17.0,36.0
750,reg,2009092709,BUF,NO,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092709/2009092709_gtd.json,7.0,27.0
751,reg,2009092710,SEA,CHI,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092710/2009092710_gtd.json,19.0,25.0
752,reg,2009092701,CIN,PIT,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092701/2009092701_gtd.json,23.0,20.0
753,reg,2009092713,SD,MIA,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092713/2009092713_gtd.json,23.0,13.0
754,reg,2009092712,OAK,DEN,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092712/2009092712_gtd.json,3.0,23.0
755,reg,2009092714,ARI,IND,3,2009,POST,http://www.nfl.com/liveupdate/game-center/2009092714/2009092714_gtd.json,10.0,31.0
