,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
1733,reg,2013090500,DEN,BAL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090500/2013090500_gtd.json,49.0,27.0
1734,reg,2013090800,BUF,NE,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090800/2013090800_gtd.json,21.0,23.0
1735,reg,2013090809,PIT,TEN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090809/2013090809_gtd.json,9.0,16.0
1736,reg,2013090808,NO,ATL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090808/2013090808_gtd.json,23.0,17.0
1737,reg,2013090807,NYJ,TB,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090807/2013090807_gtd.json,18.0,17.0
1738,reg,2013090806,JAC,KC,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090806/2013090806_gtd.json,2.0,28.0
1739,reg,2013090801,CAR,SEA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090801/2013090801_gtd.json,7.0,12.0
1740,reg,2013090802,CHI,CIN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090802/2013090802_gtd.json,24.0,21.0
1741,reg,2013090803,CLE,MIA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090803/2013090803_gtd.json,10.0,23.0
1742,reg,2013090804,DET,MIN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090804/2013090804_gtd.json,34.0,24.0
1743,reg,2013090805,IND,OAK,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090805/2013090805_gtd.json,21.0,17.0
1744,reg,2013090811,SF,GB,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090811/2013090811_gtd.json,34.0,28.0
1745,reg,2013090810,STL,ARI,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090810/2013090810_gtd.json,27.0,24.0
1746,reg,2013090812,DAL,NYG,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090812/2013090812_gtd.json,36.0,31.0
1747,reg,2013090900,WAS,PHI,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090900/2013090900_gtd.json,27.0,33.0
1748,reg,2013090901,SD,HOU,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090901/2013090901_gtd.json,28.0,31.0
1749,reg,2013091200,NE,NYJ,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091200/2013091200_gtd.json,13.0,10.0
1750,reg,2013091500,ATL,STL,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091500/2013091500_gtd.json,31.0,24.0
1751,reg,2013091508,PHI,SD,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091508/2013091508_gtd.json,30.0,33.0
1752,reg,2013091507,KC,DAL,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091507/2013091507_gtd.json,17.0,16.0
1753,reg,2013091506,IND,MIA,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091506/2013091506_gtd.json,20.0,24.0
1754,reg,2013091505,HOU,TEN,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091505/2013091505_gtd.json,30.0,24.0
1755,reg,2013091504,GB,WAS,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013091504/2013091504_gtd.json,38.0,20.0
