,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
130,pre,2011081152,NE,JAC,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081152/2011081152_gtd.json,47.0,12.0
131,pre,2011081151,PHI,BAL,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081151/2011081151_gtd.json,13.0,6.0
132,pre,2011081153,SD,SEA,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081153/2011081153_gtd.json,17.0,24.0
133,pre,2011081154,DAL,DEN,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081154/2011081154_gtd.json,24.0,23.0
134,pre,2011081155,OAK,ARI,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081155/2011081155_gtd.json,18.0,24.0
135,pre,2011081252,ATL,MIA,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081252/2011081252_gtd.json,23.0,28.0
136,pre,2011081251,DET,CIN,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081251/2011081251_gtd.json,34.0,3.0
137,pre,2011081253,WAS,PIT,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081253/2011081253_gtd.json,16.0,7.0
138,pre,2011081254,NO,SF,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081254/2011081254_gtd.json,24.0,3.0
139,pre,2011081255,KC,TB,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081255/2011081255_gtd.json,0.0,25.0
140,pre,2011081351,CLE,GB,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081351/2011081351_gtd.json,27.0,17.0
141,pre,2011081352,CHI,BUF,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081352/2011081352_gtd.json,10.0,3.0
142,pre,2011081353,STL,IND,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081353/2011081353_gtd.json,33.0,10.0
143,pre,2011081354,TEN,MIN,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081354/2011081354_gtd.json,14.0,3.0
144,pre,2011081551,HOU,NYJ,1,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081551/2011081551_gtd.json,20.0,16.0
145,pre,2011081851,TB,NE,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081851/2011081851_gtd.json,14.0,31.0
146,pre,2011081852,PIT,PHI,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081852/2011081852_gtd.json,24.0,14.0
147,pre,2011081951,IND,WAS,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081951/2011081951_gtd.json,3.0,16.0
148,pre,2011081952,MIA,CAR,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081952/2011081952_gtd.json,20.0,10.0
149,pre,2011081953,CLE,DET,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081953/2011081953_gtd.json,28.0,30.0
150,pre,2011081954,BAL,KC,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081954/2011081954_gtd.json,31.0,13.0
151,pre,2011081955,GB,ARI,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081955/2011081955_gtd.json,28.0,20.0
152,pre,2011081956,JAC,ATL,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011081956/2011081956_gtd.json,15.0,13.0
153,pre,2011082051,HOU,NO,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082051/2011082051_gtd.json,27.0,14.0
154,pre,2011082052,SF,OAK,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082052/2011082052_gtd.json,17.0,3.0
155,pre,2011082053,STL,TEN,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082053/2011082053_gtd.json,17.0,16.0
156,pre,2011082054,DEN,BUF,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082054/2011082054_gtd.json,24.0,10.0
157,pre,2011082055,SEA,MIN,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082055/2011082055_gtd.json,7.0,20.0
158,pre,2011082151,NYJ,CIN,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082151/2011082151_gtd.json,27.0,7.0
159,pre,2011082152,DAL,SD,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082152/2011082152_gtd.json,7.0,20.0
160,pre,2011082251,NYG,CHI,2,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082251/2011082251_gtd.json,41.0,13.0
161,pre,2011082551,CIN,CAR,3,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082551/2011082551_gtd.json,24.0,13.0
162,pre,2011082552,PHI,CLE,3,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082552/2011082552_gtd.json,24.0,14.0
163,pre,2011082553,BAL,WAS,3,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082553/2011082553_gtd.json,34.0,31.0
164,pre,2011082652,KC,STL,3,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082652/2011082652_gtd.json,10.0,14.0
165,pre,2011082653,IND,GB,3,2011,POST,http://www.nfl.com/liveupdate/game-center/2011082653/2011082653_gtd.json,21.0,24.0
