,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
257,pre,2013080400,DAL,MIA,0,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080400/2013080400_gtd.json,24.0,20.0
258,pre,2013080800,TB,BAL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080800/2013080800_gtd.json,16.0,44.0
259,pre,2013080801,TEN,WAS,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080801/2013080801_gtd.json,21.0,22.0
260,pre,2013080802,CLE,STL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080802/2013080802_gtd.json,27.0,19.0
261,pre,2013080803,ATL,CIN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080803/2013080803_gtd.json,10.0,34.0
262,pre,2013080804,SF,DEN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080804/2013080804_gtd.json,6.0,10.0
263,pre,2013080805,SD,SEA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080805/2013080805_gtd.json,10.0,31.0
264,pre,2013080900,JAC,MIA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080900/2013080900_gtd.json,3.0,27.0
265,pre,2013080901,DET,NYJ,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080901/2013080901_gtd.json,26.0,17.0
266,pre,2013080902,PHI,NE,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080902/2013080902_gtd.json,22.0,31.0
267,pre,2013080903,GB,ARI,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080903/2013080903_gtd.json,0.0,17.0
268,pre,2013080904,CAR,CHI,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080904/2013080904_gtd.json,24.0,17.0
269,pre,2013080905,NO,KC,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080905/2013080905_gtd.json,17.0,13.0
270,pre,2013080906,MIN,HOU,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080906/2013080906_gtd.json,13.0,27.0
271,pre,2013080907,OAK,DAL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013080907/2013080907_gtd.json,19.0,17.0
272,pre,2013081000,PIT,NYG,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081000/2013081000_gtd.json,13.0,18.0
273,pre,2013081100,IND,BUF,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081100/2013081100_gtd.json,20.0,44.0
274,pre,2013081502,CLE,DET,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081502/2013081502_gtd.json,24.0,6.0
275,pre,2013081501,BAL,ATL,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081501/2013081501_gtd.json,27.0,23.0
276,pre,2013081500,PHI,CAR,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081500/2013081500_gtd.json,14.0,9.0
277,pre,2013081503,CHI,SD,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081503/2013081503_gtd.json,33.0,28.0
278,pre,2013081600,BUF,MIN,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081600/2013081600_gtd.json,20.0,16.0
279,pre,2013081601,NE,TB,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081601/2013081601_gtd.json,25.0,21.0
280,pre,2013081602,NO,OAK,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081602/2013081602_gtd.json,28.0,20.0
281,pre,2013081603,KC,SF,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081603/2013081603_gtd.json,13.0,15.0
282,pre,2013081700,ARI,DAL,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081700/2013081700_gtd.json,12.0,7.0
283,pre,2013081701,CIN,TEN,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081701/2013081701_gtd.json,27.0,19.0
284,pre,2013081702,NYJ,JAC,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081702/2013081702_gtd.json,37.0,13.0
285,pre,2013081703,HOU,MIA,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081703/2013081703_gtd.json,24.0,17.0
286,pre,2013081704,STL,GB,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081704/2013081704_gtd.json,7.0,19.0
287,pre,2013081705,SEA,DEN,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081705/2013081705_gtd.json,40.0,10.0
288,pre,2013081800,NYG,IND,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081800/2013081800_gtd.json,12.0,20.0
289,pre,2013081900,WAS,PIT,2,2013,POST,http://www.nfl.com/liveupdate/game-center/2013081900/2013081900_gtd.json,24.0,13.0
290,pre,2013082200,DET,NE,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082200/2013082200_gtd.json,40.0,9.0
291,pre,2013082201,BAL,CAR,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082201/2013082201_gtd.json,27.0,34.0
292,pre,2013082300,GB,SEA,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082300/2013082300_gtd.json,10.0,17.0
293,pre,2013082301,OAK,CHI,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082301/2013082301_gtd.json,26.0,34.0
294,pre,2013082400,WAS,BUF,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082400/2013082400_gtd.json,30.0,7.0
295,pre,2013082401,NYG,NYJ,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082401/2013082401_gtd.json,21.0,24.0
296,pre,2013082402,IND,CLE,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082402/2013082402_gtd.json,27.0,6.0
297,pre,2013082403,MIA,TB,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082403/2013082403_gtd.json,16.0,17.0
298,pre,2013082405,PIT,KC,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082405/2013082405_gtd.json,20.0,26.0
299,pre,2013082404,JAC,PHI,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082404/2013082404_gtd.json,24.0,31.0
300,pre,2013082406,TEN,ATL,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082406/2013082406_gtd.json,27.0,16.0
301,pre,2013082407,DEN,STL,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082407/2013082407_gtd.json,27.0,26.0
302,pre,2013082408,DAL,CIN,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082408/2013082408_gtd.json,24.0,18.0
303,pre,2013082409,ARI,SD,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082409/2013082409_gtd.json,7.0,24.0
304,pre,2013082500,HOU,NO,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082500/2013082500_gtd.json,23.0,31.0
305,pre,2013082501,SF,MIN,3,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082501/2013082501_gtd.json,34.0,14.0
306,pre,2013082900,NYJ,PHI,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082900/2013082900_gtd.json,27.0,20.0
307,pre,2013082902,CIN,IND,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082902/2013082902_gtd.json,27.0,10.0
308,pre,2013082901,BUF,DET,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082901/2013082901_gtd.json,13.0,35.0
309,pre,2013082906,ATL,JAC,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082906/2013082906_gtd.json,16.0,20.0
310,pre,2013082905,CAR,PIT,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082905/2013082905_gtd.json,25.0,10.0
311,pre,2013082904,TB,WAS,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082904/2013082904_gtd.json,12.0,30.0
312,pre,2013082903,MIA,NO,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082903/2013082903_gtd.json,24.0,21.0
313,pre,2013082907,NE,NYG,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082907/2013082907_gtd.json,28.0,20.0
314,pre,2013082908,MIN,TEN,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082908/2013082908_gtd.json,24.0,23.0
315,pre,2013082909,STL,BAL,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082909/2013082909_gtd.json,24.0,21.0
316,pre,2013082910,CHI,CLE,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082910/2013082910_gtd.json,16.0,18.0
317,pre,2013082911,KC,GB,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082911/2013082911_gtd.json,30.0,8.0
318,pre,2013082912,DAL,HOU,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082912/2013082912_gtd.json,6.0,24.0
319,pre,2013082913,DEN,ARI,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082913/2013082913_gtd.json,24.0,32.0
320,pre,2013082914,SD,SF,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082914/2013082914_gtd.json,6.0,41.0
321,pre,2013082915,SEA,OAK,4,2013,POST,http://www.nfl.com/liveupdate/game-center/2013082915/2013082915_gtd.json,22.0,6.0
