,type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
644,pre,2019080151,ATL,DEN,0,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080151/2019080151_gtd.json,10.0,14.0
645,pre,2019080860,NYG,NYJ,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080860/2019080860_gtd.json,31.0,22.0
646,pre,2019080853,BUF,IND,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080853/2019080853_gtd.json,24.0,16.0
647,pre,2019080852,BAL,JAX,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080852/2019080852_gtd.json,29.0,0.0
648,pre,2019080861,PHI,TEN,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080861/2019080861_gtd.json,10.0,27.0
649,pre,2019080858,MIA,ATL,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080858/2019080858_gtd.json,34.0,27.0
650,pre,2019080856,DET,NE,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080856/2019080856_gtd.json,3.0,31.0
651,pre,2019080855,CLE,WAS,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080855/2019080855_gtd.json,30.0,10.0
652,pre,2019080857,GB,HOU,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080857/2019080857_gtd.json,28.0,26.0
653,pre,2019080854,CHI,CAR,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080854/2019080854_gtd.json,13.0,23.0
654,pre,2019080863,SEA,DEN,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080863/2019080863_gtd.json,22.0,14.0
655,pre,2019080851,ARI,LAC,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080851/2019080851_gtd.json,17.0,13.0
656,pre,2019080952,PIT,TB,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080952/2019080952_gtd.json,30.0,28.0
657,pre,2019080951,NO,MIN,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019080951/2019080951_gtd.json,25.0,34.0
658,pre,2019081052,OAK,LA,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019081052/2019081052_gtd.json,14.0,3.0
659,pre,2019081051,KC,CIN,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019081051/2019081051_gtd.json,38.0,17.0
660,pre,2019081053,SF,DAL,1,2019,POST,http://www.nfl.com/liveupdate/game-center/2019081053/2019081053_gtd.json,17.0,9.0
661,pre,2019081554,JAX,PHI,2,2019,POST,http://www.nfl.com/liveupdate/game-center/2019081554/2019081554_gtd.json,10.0,24.0
662,pre,2019081552,ATL,NYJ,2,2019,POST,http://www.nfl.com/liveupdate/game-center/2019081552/2019081552_gtd.json,10.0,22.0
