,season,play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,season_type
608258,2017,71,2018010600,KC,TEN,KC,home,TEN,KC,93.0,2018-01-06,895.0,1795.0,3595.0,Half1,0,1,0,1,1.0,0.0,14:55,KC 7,10,23,(14:55) (Shotgun) A.Smith pass incomplete deep left to T.Hill.,pass,0.0,1,0,1.0,0,0,0,deep,left,31.0,0.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018665945882927,0.2227867955154524,0.018047088508469,0.3490512399884216,0.16298252882516,0.0032796873202655,0.2419860652539383,0.0,0.0,-0.9584038255886672,-0.7400352719615371,-2.5134375732624177,2.5134375732624177,0.0,0.0,-0.7400352719615371,0.7400352719615371,2.968017940706045,-3.7080532126675823,0.0,0.0,0.0,0.0,0.0,0.0,2.968017940706045,-2.968017940706045,-3.7080532126675823,3.7080532126675823,0.4486389642990362,0.5513610357009637,0.4486389642990362,0.5513610357009637,-0.0217008552948888,0.4269381090041474,0.5730618909958525,0.0,0.0,-0.0217008552948888,0.0217008552948888,0.0878058307917596,-0.1095066860866484,0.0,0.0,0.0,0.0,0.0,0.0,0.0878058307917596,-0.0878058307917596,-0.1095066860866484,0.1095066860866484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0023436,A.Smith,00-0033040,T.Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608259,2017,102,2018010600,KC,TEN,KC,home,TEN,KC,93.0,2018-01-06,889.0,1789.0,3589.0,Half1,0,1,0,1,2.0,0.0,14:49,KC 7,10,4,(14:49) (Shotgun) A.Smith pass short left to T.Hill pushed ob at KC 11 for 4 yards (L.Ryan).,pass,4.0,1,0,1.0,0,0,0,short,left,-4.0,8.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018656699276155,0.2502362345766037,0.0180083266949568,0.3903502905863633,0.1346200529249383,0.0035115684254815,0.2014078568640407,0.0,0.0,-1.6984390975502044,-0.205790570492824,-2.7192281437552417,2.7192281437552417,0.0,0.0,-0.9458258424543612,0.9458258424543612,-1.0920176169640712,0.8862270464712472,-1.0920176169640712,0.8862270464712472,-1.0920176169640712,1.0920176169640712,0.8862270464712472,-0.8862270464712472,1.876000323741974,-1.876000323741974,-2.821826166196335,2.821826166196335,0.4269381090041474,0.5730618909958525,0.4269381090041474,0.5730618909958525,-0.0040495951587538,0.4228885138453936,0.5771114861546063,0.0,0.0,-0.0257504504536426,0.0257504504536426,-0.0334485792635363,0.0293989841047825,-0.0334485792635363,0.0293989841047825,-0.0334485792635363,0.0334485792635363,0.0293989841047825,-0.0293989841047825,0.0543572515282232,-0.0543572515282232,-0.0801077019818658,0.0801077019818658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00-0023436,A.Smith,00-0033040,T.Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN,,00-0030411,,L.Ryan,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608260,2017,131,2018010600,KC,TEN,KC,home,TEN,KC,89.0,2018-01-06,850.0,1750.0,3550.0,Half1,0,1,0,1,3.0,0.0,14:10,KC 11,6,18,(14:10) (Shotgun) A.Smith pass short right to T.Kelce to KC 25 for 14 yards (A.Jackson).,pass,14.0,1,0,1.0,0,0,0,short,right,9.0,5.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019447966614819,0.2680747863952309,0.0142049093704405,0.4033544311292787,0.1043138203060524,0.0035613452184538,0.2045459109190616,0.0,0.0,-1.9042296680430284,2.746104748104182,0.0268766043489405,-0.0268766043489405,0.0,0.0,1.800278905649821,-1.800278905649821,2.552686805632764,0.1934179424714179,2.552686805632764,0.1934179424714179,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,4.4286871293747385,-4.4286871293747385,-2.628408223724917,2.628408223724917,0.4228885138453936,0.5771114861546063,0.4228885138453936,0.5771114861546063,0.0831895742755406,0.5060780881209344,0.4939219118790656,0.0,0.0,0.057439123821898,-0.057439123821898,0.075535320529407,0.0076542537461335,0.075535320529407,0.0076542537461335,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.1298925720576303,-0.1298925720576303,-0.0724534482357322,0.0724534482357322,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00-0023436,A.Smith,00-0030506,T.Kelce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEN,,00-0033878,,A.Jackson,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608261,2017,155,2018010600,KC,TEN,KC,home,TEN,KC,75.0,2018-01-06,809.0,1709.0,3509.0,Half1,0,1,0,1,1.0,0.0,13:29,KC 25,10,22,(13:29) (Shotgun) K.Hunt up the middle to KC 30 for 5 yards (D.Morgan; J.Casey).,run,5.0,1,0,0.0,0,0,0,,,0.0,0.0,middle,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019800885022482,0.1619925136461845,0.0044174026436302,0.2523090184012356,0.2335145186011424,0.0036396416293446,0.3421468165762144,0.0,0.0,0.8418750800611536,0.0969742339954,0.1238508383443406,-0.1238508383443406,0.0969742339954,-0.0969742339954,1.800278905649821,-1.800278905649821,0.0,0.0,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,4.4286871293747385,-4.4286871293747385,-2.628408223724917,2.628408223724917,0.5060780881209344,0.4939219118790656,0.5060780881209344,0.4939219118790656,0.0048875739933487,0.5109656621142831,0.4890343378857169,0.0048875739933487,-0.0048875739933487,0.057439123821898,-0.057439123821898,0.0,0.0,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.1298925720576303,-0.1298925720576303,-0.0724534482357322,0.0724534482357322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,00-0033923,K.Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027868,D.Morgan,TEN,00-0028015,J.Casey,TEN,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608262,2017,176,2018010600,KC,TEN,KC,home,TEN,KC,70.0,2018-01-06,769.0,1669.0,3469.0,Half1,0,1,0,1,2.0,0.0,12:49,KC 30,5,22,(12:49) (Shotgun) K.Hunt left guard to KC 29 for -1 yards (S.Williams).,run,-1.0,1,0,0.0,0,0,0,,,0.0,0.0,left,guard,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022050551087964,0.1606614806467049,0.0033969741673461,0.2470236293385001,0.2325839079676009,0.00397225671986,0.3501566960511913,0.0,0.0,0.9388493140565536,-1.140981649807775,-1.0171308114634343,1.0171308114634343,-1.0440074158123749,1.0440074158123749,1.800278905649821,-1.800278905649821,0.0,0.0,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,4.4286871293747385,-4.4286871293747385,-2.628408223724917,2.628408223724917,0.5109656621142831,0.4890343378857169,0.5109656621142831,0.4890343378857169,-0.0314508001169007,0.4795148619973823,0.5204851380026176,-0.026563226123552,0.026563226123552,0.057439123821898,-0.057439123821898,0.0,0.0,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.1298925720576303,-0.1298925720576303,-0.0724534482357322,0.0724534482357322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,00-0033923,K.Hunt,,,,,,,,,,,,,,,,,,,,,,,,,00-0030577,S.Williams,,,,,,,,,,,,,TEN,,00-0030577,,S.Williams,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608263,2017,197,2018010600,KC,TEN,KC,home,TEN,KC,71.0,2018-01-06,724.0,1624.0,3424.0,Half1,0,1,0,1,3.0,0.0,12:04,KC 29,6,22,(12:04) (Shotgun) A.Smith pass incomplete short left. No intended receiver. Intentionally threw away pass over head of C.West.,pass,0.0,1,0,1.0,0,0,0,short,left,4.0,0.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026747949364449,0.201993725456419,0.0049652458934077,0.3093996528915615,0.1914580946457886,0.004271356905246,0.285237129271132,0.0,0.0,-0.2021323357512212,-1.691820400372798,-2.708951211836232,2.708951211836232,-1.0440074158123749,1.0440074158123749,0.108458505277023,-0.108458505277023,-1.3789864680485782,-0.3128339323242197,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,3.04970066132616,-3.04970066132616,-2.941242156049137,2.941242156049137,0.4795148619973823,0.5204851380026176,0.4795148619973823,0.5204851380026176,-0.050146151266562,0.4293687107308202,0.5706312892691797,-0.026563226123552,0.026563226123552,0.007292972555336,-0.007292972555336,-0.0406502545140218,-0.0094958967525402,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.0892423175436085,-0.0892423175436085,-0.0819493449882725,0.0819493449882725,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0023436,A.Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608264,2017,219,2018010600,KC,TEN,KC,home,TEN,KC,71.0,2018-01-06,717.0,1617.0,3417.0,Half1,0,1,0,1,4.0,0.0,11:57,KC 29,6,22,"(11:57) D.Colquitt punts 51 yards to TEN 20, Center-J.Winchester. A.Jackson to TEN 25 for 5 yards (M.Kemp).",punt,0.0,0,0,0.0,0,0,0,,,0.0,0.0,,,,51.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029346771418641,0.2714860654476373,0.005794062876118,0.4039916697865736,0.1060184065252347,0.0052891545313129,0.2044859636912591,0.0,0.0,-1.8939527361240192,1.0220346743402102,-1.686916537496022,1.686916537496022,-1.0440074158123749,1.0440074158123749,0.108458505277023,-0.108458505277023,0.0,0.0,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,3.04970066132616,-3.04970066132616,-2.941242156049137,2.941242156049137,0.4293687107308202,0.5706312892691798,0.4293687107308202,0.5706312892691798,0.0590853013925369,0.4884540121233571,0.5115459878766428,-0.026563226123552,0.026563226123552,0.007292972555336,-0.007292972555336,0.0,0.0,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.0892423175436085,-0.0892423175436085,-0.0819493449882725,0.0819493449882725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,00-0033878,A.Jackson,,,,,,,00-0023534,D.Colquitt,,,,,,,,,,,,,,,,,,,,,KC,,00-0033481,,M.Kemp,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,TEN,5.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608265,2017,244,2018010600,KC,TEN,TEN,away,KC,TEN,75.0,2018-01-06,706.0,1606.0,3406.0,Half1,0,2,0,1,1.0,0.0,11:46,TEN 25,10,0,(11:46) (Shotgun) M.Mariota pass incomplete short middle to J.Smith (J.Houston) [J.Houston].,pass,0.0,1,0,1.0,0,0,0,short,middle,5.0,0.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029941187985327,0.1612146320489844,0.0043895813022465,0.2501200025555423,0.2339223277371759,0.0036202415380204,0.3437390960194975,0.0,0.0,0.8719180617838089,-0.7692477941006544,-0.9176687433953676,0.9176687433953676,-1.0440074158123749,1.0440074158123749,0.8777062993776774,-0.8777062993776774,-0.2737174214234732,-0.4955303726771811,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,3.323418082749633,-3.323418082749633,-2.445711783371956,2.445711783371956,0.5115459878766428,0.4884540121233571,0.4884540121233571,0.5115459878766428,-0.0223741195085317,0.5108281316318889,0.4891718683681111,-0.026563226123552,0.026563226123552,0.0296670920638677,-0.0296670920638677,-0.0078460609414974,-0.0145280585670343,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.0970883784851059,-0.0970883784851059,-0.0674212864212381,0.0674212864212381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0032268,M.Mariota,00-0033858,J.Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028008,J.Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0028008,J.Houston,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608266,2017,270,2018010600,KC,TEN,TEN,away,KC,TEN,75.0,2018-01-06,702.0,1602.0,3402.0,Half1,0,2,0,1,2.0,0.0,11:42,TEN 25,10,7,(11:42) D.Henry left tackle to TEN 32 for 7 yards (F.Zombo; D.Johnson).,run,7.0,0,0,0.0,0,0,0,,,0.0,0.0,left,tackle,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031210678565649,0.1872464723086959,0.0056447112409548,0.2911821956158983,0.2139761088552835,0.0039519918043254,0.2948774523182769,0.0,0.0,0.1026702676831545,0.4620964298122867,-1.3797651732076543,1.3797651732076543,-1.5061038456246616,1.5061038456246616,0.8777062993776774,-0.8777062993776774,0.0,0.0,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,3.323418082749633,-3.323418082749633,-2.445711783371956,2.445711783371956,0.4891718683681111,0.5108281316318889,0.5108281316318889,0.4891718683681111,0.0148395112839913,0.4959886203478976,0.5040113796521024,-0.0414027374075433,0.0414027374075433,0.0296670920638677,-0.0296670920638677,0.0,0.0,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.0970883784851059,-0.0970883784851059,-0.0674212864212381,0.0674212864212381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,00-0032764,D.Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00-0027442,F.Zombo,KC,00-0023449,D.Johnson,KC,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
608267,2017,291,2018010600,KC,TEN,TEN,away,KC,TEN,68.0,2018-01-06,657.0,1557.0,3357.0,Half1,0,2,0,1,3.0,0.0,10:57,TEN 32,3,7,(10:57) (Shotgun) M.Mariota pass incomplete deep left to C.Davis.,pass,0.0,1,0,1.0,0,0,0,deep,left,18.0,0.0,,,,0.0,,,3,3,0.0,,,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003336417246303,0.1779262958412956,0.0038161623333477,0.2692742470284015,0.2023480216104674,0.0038076835055719,0.3394911724346126,0.0,0.0,0.5647666974954413,-1.963883413952628,0.5841182407449739,-0.5841182407449739,-1.5061038456246616,1.5061038456246616,2.841589713330306,-2.841589713330306,3.0619012962842085,-5.025784710236836,0.0,0.0,1.4606691886686929,-1.4606691886686929,1.0796449889426651,-1.0796449889426651,0.2615167864654246,-0.2615167864654246,2.5800729268648803,-2.5800729268648803,0.5040113796521024,0.4959886203478976,0.4959886203478976,0.5040113796521024,-0.0577093342862662,0.5536979546341638,0.4463020453658361,-0.0414027374075433,0.0414027374075433,0.087376426350134,-0.087376426350134,0.0955353845548484,-0.1532447188411147,0.0,0.0,0.0420867412658707,-0.0420867412658707,0.0370532378509161,-0.0370532378509161,0.0015529939302574,-0.0015529939302574,0.0858234324198765,-0.0858234324198765,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00-0032268,M.Mariota,00-0033871,C.Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0,,,0.0,0.0,0.0,0.0,post
